region,product type,product name,producer name,regulator number,application method,label minimum rate,label maximum rate,label suggested rate,rate UOM,number of AI,AI1,AI1 eiq,AI1 group,AI1concentration,AI1_UOM,AI2,AI2 eiq,AI2 group,AI2concentration,AI2_UOM,AI3,AI3 eiq,AI3 group,AI3concentration,AI3_UOM,AI4,AI4 eiq,AI4 group,AI4concentration,AI4_UOM,eiq total,min days between applications,REI (hours),PHI (days)
CA,Field Herbicide,BOUNDARY LQD,"Syngenta Canada, Inc.",30812,Ground,1.85,2.5,,l / ha,2,Metribuzin,,,,,S-metolachlor,,,,,,,,,,,,,,,,,,
USA,Field Herbicide,BOUNDARY 6.5 EC,Syngenta Crop Protection,100-1162,Foliar,1.5,2.9,5.1,pt / ac,2,Metribuzin,,,,,S-metolachlor,,,,,,,,,,,,,,,,,,
USA,Field Herbicide,BOUNDARY 6.5 EC,Syngenta Crop Protection,100-1162,Ground,1.5,2.9,5.1,pt / ac,2,Metribuzin,,,,,S-metolachlor,,,,,,,,,,,,,,,,,,
USA,Field Herbicide,LEDGER HERBICIDE,"TENKOZ, Inc.",100-1162-55467,Ground,1.5,2.9,5.1,pt / ac,2,Metribuzin,,,,,S-metolachlor,,,,,,,,,,,,,,,,,,
USA,Field Herbicide,LEDGER HERBICIDE,"TENKOZ, Inc.",100-1162-55467,Ground,1.5,2.9,5.1,pt / ac,2,Metribuzin,,,,,S-metolachlor,,,,,,,,,,,,,,,,,,
USA,Field Herbicide,METRICOR 4F HERBICIDE,"United Phosphorus, Inc.",70506-68,Ground,0.5,2,2,pt / ac,1,Metribuzin,,,,,,,,,,,,,,,,,,,,,,,
USA,Field Herbicide,METRICOR 4F HERBICIDE,"United Phosphorus, Inc.",70506-68,Ground,0.5,2,2,pt / ac,1,Metribuzin,,,,,,,,,,,,,,,,,,,,,,,
USA,Field Herbicide,METRICOR DF HERBICIDE,"United Phosphorus, Inc.",70506-103,Chemigation,0.333,1.333,1.333,lb / ac,1,Metribuzin,,,,,,,,,,,,,,,,,,,,,,,
USA,Field Herbicide,METRICOR DF HERBICIDE,"United Phosphorus, Inc.",70506-103,Foliar,0.333,1.333,1.333,lb / ac,1,Metribuzin,,,,,,,,,,,,,,,,,,,,,,,
USA,Field Herbicide,METRICOR DF HERBICIDE,"United Phosphorus, Inc.",70506-103,Ground,0.333,1.333,1.333,lb / ac,1,Metribuzin,,,,,,,,,,,,,,,,,,,,,,,
USA,Field Herbicide,MOCCASIN MTZ HERBICIDE,"United Phosphorus, Inc.",70506-335,Ground,1.75,4.56,7.12,pt / ac,2,Metribuzin,,,,,S-metolachlor,,,,,,,,,,,,,,,,,,
USA,Field Herbicide,MOCCASIN MTZ HERBICIDE,"United Phosphorus, Inc.",70506-335,Ground,1.75,4.56,7.12,pt / ac,2,Metribuzin,,,,,S-metolachlor,,,,,,,,,,,,,,,,,,
USA,Field Herbicide,TRICOR 4F HERBICIDE,"United Phosphorus, Inc.",70506-68,Ground,0.5,2,2,pt / ac,1,Metribuzin,,,,,,,,,,,,,,,,,,,,,,,
USA,Field Herbicide,TRICOR 4F HERBICIDE,"United Phosphorus, Inc.",70506-68,Ground,0.5,2,2,pt / ac,1,Metribuzin,,,,,,,,,,,,,,,,,,,,,,,
USA,Field Herbicide,TRICOR DF,"United Phosphorus, Inc.",70506-103,Chemigation,0.666,1.333,1.333,lb / ac,1,Metribuzin,,,,,,,,,,,,,,,,,,,,,,,
USA,Field Herbicide,TRICOR DF,"United Phosphorus, Inc.",70506-103,Foliar,0.666,1.333,1.333,lb / ac,1,Metribuzin,,,,,,,,,,,,,,,,,,,,,,,
USA,Field Herbicide,TRICOR DF,"United Phosphorus, Inc.",70506-103,Ground,0.666,1.333,1.333,lb / ac,1,Metribuzin,,,,,,,,,,,,,,,,,,,,,,,
USA,Field Herbicide,TRIPZIN ZC HERBICIDE,"United Phosphorus, Inc.",70506-330,Ground,31,62,,fl oz/acre,2,Metribuzin,,,,,Pendimethalin,,,,,,,,,,,,,,,,,,
USA,Field Herbicide,METRICLUDE EXT,"United Suppliers, Inc.",1381-197-33270,Ground,0.333,1.333,1.333,lb / ac,1,Metribuzin,,,,,,,,,,,,,,,,,,,,,,,
USA,Field Herbicide,METRICLUDE EXT,"United Suppliers, Inc.",1381-197-33270,Ground,0.333,1.333,1.333,lb / ac,1,Metribuzin,,,,,,,,,,,,,,,,,,,,,,,
CA,Field Herbicide,TRICOR 75WSB,UPL AgroSolutions Canada Inc.,31334,Foliar,550,1500,1500,g / ha,1,Metribuzin,,,,,,,,,,,,,,,,,,,,,,,
CA,Field Herbicide,TRICOR 75WSB,UPL AgroSolutions Canada Inc.,31334,Ground,550,1500,1500,g / ha,1,Metribuzin,,,,,,,,,,,,,,,,,,,,,,,
CA,Field Herbicide,TRICOR 75WSB,UPL AgroSolutions Canada Inc.,31334,Ground,550,1500,1500,g / ha,1,Metribuzin,,,,,,,,,,,,,,,,,,,,,,,
CA,Field Herbicide,STRIM MTZ HERBICIDE,UPL NA INC.,33753,Ground,2.9,3.9,,l / ha,2,Metribuzin,,,,,S-metolachlor,,,,,,,,,,,,,,,,,,
CA,Field Herbicide,STRIM MTZ HERBICIDE,UPL NA INC.,33753,Soil Incorporated,2.9,3.9,,l / ha,2,Metribuzin,,,,,S-metolachlor,,,,,,,,,,,,,,,,,,
CA,Field Herbicide,TRICOR LQ,UPL NA INC.,33911,Ground,850,2.25,2.25,ml / ha,1,Metribuzin,,,,,,,,,,,,,,,,,,,,,,,
CA,Field Herbicide,TRICOR LQ,UPL NA INC.,33911,Ground,850,2.25,2.25,ml / ha,1,Metribuzin,,,,,,,,,,,,,,,,,,,,,,,
USA,Field Herbicide,PREVIEW 2.1 SC HERBICIDE,"UPL NA, INC.",70506-394,Broadcast,11,29,29,fl oz/acre,2,Metribuzin,,,,,Sulfentrazone,,,,,,,,,,,,,,,,,,
CA,Field Herbicide,TRICOR 75 DF,"UPL NA, Inc.",30661,Foliar,0.75,1.5,1.5,kg / ha,1,Metribuzin,,,,,,,,,,,,,,,,,,,,,,,
CA,Field Herbicide,TRICOR 75 DF,"UPL NA, Inc.",30661,Ground,0.75,1.5,1.5,kg / ha,1,Metribuzin,,,,,,,,,,,,,,,,,,,,,,,
USA,Field Herbicide,DIMETRIC DF 75%,"Winfield Solutions, LLC",1381-197,Foliar,0.333,1.333,1.333,lb / ac,1,Metribuzin,,,,,,,,,,,,,,,,,,,,,,,
USA,Field Herbicide,DIMETRIC DF 75%,"Winfield Solutions, LLC",1381-197,Ground,0.333,1.333,1.333,lb / ac,1,Metribuzin,,,,,,,,,,,,,,,,,,,,,,,
USA,Field Herbicide,DIMETRIC EXT,"Winfield Solutions, LLC",1381-197,Foliar,0.333,1.333,1.333,lb / ac,1,Metribuzin,,,,,,,,,,,,,,,,,,,,,,,
USA,Field Herbicide,DIMETRIC EXT,"Winfield Solutions, LLC",1381-197,Ground,0.333,1.333,1.333,lb / ac,1,Metribuzin,,,,,,,,,,,,,,,,,,,,,,,
USA,Field Herbicide,DIMETRIC LIQUID,"Winfield Solutions, LLC",1381-259,Ground,0.666,2.666,2.666,pt / ac,1,Metribuzin,,,,,,,,,,,,,,,,,,,,,,,
USA,Field Herbicide,DIMETRIC LIQUID,"Winfield Solutions, LLC",1381-259,Ground,0.666,2.666,2.666,pt / ac,1,Metribuzin,,,,,,,,,,,,,,,,,,,,,,,
CA,Field Insecticide,SUPERIOR 70 OIL,Loveland Products Canada Inc.,14981,Foliar,10,10,,l / ha,1,Mineral oil,,,,,,,,,,,,,,,,,,,,,7,,
CA,Field Insecticide,"BARTLETT SUPERIOR ""70"" OIL",N.M. Bartlett INC.,9542,Foliar,10,10,,l / ha,1,Mineral oil,,,,,,,,,,,,,,,,,,,,,,,
USA,Field Insecticide,TRILOGY,Certis USA LLC,70051-2,Foliar,0.25,2,,gal / ac,1,Neem oil,,,,,,,,,,,,,,,,,,,,,7,,
CA,Field Insecticide,RIMON 10 EC (ADAMA),Adama Agricultural Solutions Canada Ltd.,28515,Foliar,410,820,1640,ml / ha,1,Novaluron,,,,,,,,,,,,,,,,,,,,,,,
USA,Field Insecticide,RIMON 0.83 EC,"MAKHTESHIM AGAN OF NORTH AMERICA, INC.",66222-35,Chemigation,6,12,24,fl oz/acre,1,Novaluron,,,,,,,,,,,,,,,,,,,,,,,
USA,Field Insecticide,RIMON 0.83 EC,"MAKHTESHIM AGAN OF NORTH AMERICA, INC.",66222-35,Foliar,6,12,24,fl oz/acre,1,Novaluron,,,,,,,,,,,,,,,,,,,,,,,
CA,Field Insecticide,RIMON 10 EC INSECTICIDE (ARYSTA),UPL AgroSolutions Canada Inc.,28881,Foliar,410,820,1640,ml / ha,1,Novaluron,,,,,,,,,,,,,,,,,,,,,,,
USA,Field Insecticide,GEMSTAR LC,Certis USA LLC,70051-45,Foliar,4,10,,fl oz/acre,1,Nuclear polyhedrosis virus,,,,,,,,,,,,,,,,,,,,,,,
USA,Nematicide,RETURN XL,Amvac Chemical Corporation,83100-52-83979,Foliar,8.5,34,306,fl oz/acre,1,Oxamyl,,,,,,,,,,,,,,,,,,,,,,,
USA,Field Insecticide,VYDATE C-LV,"CORTEVA AGRISCIENCE, LLC",352-532,Chemigation,8.5,34,306,fl oz/acre,1,Oxamyl,,,,,,,,,,,,,,,,,,,,,,,
USA,Field Insecticide,VYDATE C-LV,"CORTEVA AGRISCIENCE, LLC",352-532,Foliar,8.5,34,306,fl oz/acre,1,Oxamyl,,,,,,,,,,,,,,,,,,,,,,,
USA,Field Insecticide,VYDATE C-LV,"CORTEVA AGRISCIENCE, LLC",352-532,Furrow,8.5,34,306,fl oz/acre,1,Oxamyl,,,,,,,,,,,,,,,,,,,,,,,
CA,Field Insecticide,VYDATE L,Production Agriscience Canada Company,17995,Foliar,2.3,3,,l / ha,1,Oxamyl,,,,,,,,,,,,,,,,,,,,,,,
USA,Field Insecticide,VY-KING42,"Solera ATO, LLC",88058-6-84237,Foliar,34,34,306,fl oz/acre,1,Oxamyl,,,,,,,,,,,,,,,,,,,,,14,,
USA,Nematicide,VY-KING42,"Solera ATO, LLC",88058-6-84237,Furrow,34,34,306,fl oz/acre,1,Oxamyl,,,,,,,,,,,,,,,,,,,,,14,,
CA,Field Fungicide,ORONDIS 200SC,SYNGENTA CANADA INC.,32104,Furrow,350,350,350,ml / ha,1,Oxathiapiprolin,,,,,,,,,,,,,,,,,,,,,,,
CA,Field Fungicide,ORONDIS GOLD A 200SC,"Syngenta Canada, Inc.",33284,Furrow,3.2,3.2,3.2,ml / 100 m,1,Oxathiapiprolin,,,,,,,,,,,,,,,,,,,,,,,
USA,Field Fungicide,ORONDIS GOLD 200,Syngenta Crop Protection,100-1571,Furrow,2.4,9.6,19.2,fl oz/acre,1,Oxathiapiprolin,,,,,,,,,,,,,,,,,,,,,10,,
USA,Field Fungicide,ORONDIS OPTI A,Syngenta Crop Protection,100-1572,Foliar,1.6,4.8,19.2,fl oz/acre,1,Oxathiapiprolin,,,,,,,,,,,,,,,,,,,,,,,
USA,Field Fungicide,ORONDIS ULTRA A,Syngenta Crop Protection,100-1572,Foliar,1.6,4.8,19.2,fl oz/acre,1,Oxathiapiprolin,,,,,,,,,,,,,,,,,,,,,,,
USA,Field Herbicide,GALIGAN 2E,"Makhteshim-Agan of North America, Inc.",66222-28,Ground,1,2,2,pt / ac,1,Oxyflouren,,,,,,,,,,,,,,,,,,,,,,,
USA,Field Herbicide,GOAL 2XL HERBICIDE,NUTRICHEM USA INC.,62719-424,Ground,1,2,2,pt / ac,1,Oxyflouren,,,,,,,,,,,,,,,,,,,,,,,
USA,Field Herbicide,HELMQUAT 3SL,"HELM AGRO US, INC.",74530-48,Broadcast,0.7,1.3,4,pt / ac,1,Paraquat,,,,,,,,,,,,,,,,,,,,,,,
USA,Field Herbicide,HELMQUAT 3SL,"HELM AGRO US, INC.",74530-48,Broadcast,0.7,1.3,4,pt / ac,1,Paraquat,,,,,,,,,,,,,,,,,,,,,,,
USA,Field Herbicide,DEVOUR,"Innvictis Crop Care, LLC",89167-24-89391,Ground,0.7,1.3,2.6,pt / ac,1,Paraquat,,,,,,,,,,,,,,,,,,,,,,,
USA,Desiccant,FIRESTORM,"MACDERMID AGRICULTURAL SOLUTIONS, INC.",82557-1-400,Foliar,0.4,0.7,,pt / ac,1,Paraquat,,,,,,,,,,,,,,,,,,,,,,,
USA,Field Herbicide,FIRESTORM,"MACDERMID AGRICULTURAL SOLUTIONS, INC.",82557-1-400,Ground,0.4,0.7,,pt / ac,1,Paraquat,,,,,,,,,,,,,,,,,,,,,,,
USA,Field Herbicide,PARAZONE 3SL,"Makhteshim-Agan of North America, Inc.",66222-130,Ground,0.4,1.3,3.9,pt / ac,1,Paraquat,,,,,,,,,,,,,,,,,,,,,,,
USA,Field Herbicide,GRAMOXONE SL 3.0,Syngenta,100-1652,Broadcast,0.7,1.3,4,pt / ac,1,Paraquat,,,,,,,,,,,,,,,,,,,,,,,
USA,Field Herbicide,GRAMOXONE SL 3.0,Syngenta,100-1652,Broadcast,0.7,1.3,4,pt / ac,1,Paraquat,,,,,,,,,,,,,,,,,,,,,,,
USA,Field Fungicide,BLOCKER 4F FUNGICIDE,Amvac Chemical Corporation,5481-8992,Foliar,3,10,10,pt / ac,1,PCNB,,,,,,,,,,,,,,,,,,,,,,,
CA,Desiccant,BELOUKHA,BELCHIM CROP PROTECTION CANADA INC.,33686,Foliar,12,16,,l / ha,1,Pelargonic acid,,,,,,,,,,,,,,,,,,,,,7,,
USA,Field Herbicide,SCYTHE HERBICIDE,"GOWAN COMPANY, LLC",62719-529,Ground,1,10,,gal / ac,1,Pelargonic acid,,,,,,,,,,,,,,,,,,,,,,,
USA,Field Herbicide,PROWL 3.3 EC HERBICIDE,BASF Corporation,241-337,Ground,1.8,3.6,3.6,pt / ac,1,Pendimethalin,,,,,,,,,,,,,,,,,,,,,,,
USA,Field Herbicide,PROWL H2O HERBICIDE,BASF Corporation,241-418,Chemigation,1.5,3,3,pt / ac,1,Pendimethalin,,,,,,,,,,,,,,,,,,,,,,,
USA,Field Herbicide,PROWL H2O HERBICIDE,BASF Corporation,241-418,Foliar,1.5,3,3,pt / ac,1,Pendimethalin,,,,,,,,,,,,,,,,,,,,,,,
USA,Field Herbicide,PROWL H2O HERBICIDE,BASF Corporation,241-418,Ground,1.5,3,3,pt / ac,1,Pendimethalin,,,,,,,,,,,,,,,,,,,,,,,
USA,Field Herbicide,PIN-DEE 3.3 EC,Drexel Chemical Company,19713-668,Ground,0.9,1.8,1.8,qt / ac,1,Pendimethalin,,,,,,,,,,,,,,,,,,,,,,,
USA,Field Herbicide,PIN-DEE 3.3 EC,Drexel Chemical Company,19713-668,Ground,0.9,1.8,1.8,qt / ac,1,Pendimethalin,,,,,,,,,,,,,,,,,,,,,,,
USA,Field Herbicide,PENDIMETHALIN,Helena Chemical Company,241-337-5905,Ground,1.8,3.6,3.6,pt / ac,1,Pendimethalin,,,,,,,,,,,,,,,,,,,,,,,
USA,Field Herbicide,PENDIPRO 3.3 EC HERBICIDE,"Independent Agribusiness Professionals, Inc.",241-337-71058,Ground,1.8,3.6,3.6,pt / ac,1,Pendimethalin,,,,,,,,,,,,,,,,,,,,,,,
USA,Field Herbicide,STEALTH HERBICIDE,Loveland Products Inc.,34704-868,Ground,1.8,3.6,,pt / ac,1,Pendimethalin,,,,,,,,,,,,,,,,,,,,,,,
USA,Field Herbicide,ACUMEN HERBICIDE,"TENKOZ, Inc.",241-337-55467,Ground,1.8,3.6,,pt / ac,1,Pendimethalin,,,,,,,,,,,,,,,,,,,,,,,
USA,Field Herbicide,SATELLITE HYDROCAP HERBICIDE,"United Phosphorus, Inc.",70506-230,Ground,1.5,3,3,pt / ac,1,Pendimethalin,,,,,,,,,,,,,,,,,,,,,,,
USA,Field Herbicide,FRAMEWORK 3.3 EC HERBICIDE,"Winfield Solutions, LLC",1381-216,Ground,1.8,3.6,,pt / ac,1,Pendimethalin,,,,,,,,,,,,,,,,,,,,,,,
USA,Field Herbicide,PENDANT 3.3 EC HERBICIDE,"Winfield Solutions, LLC",1381-216,Ground,1.8,3.6,,pt / ac,1,Pendimethalin,,,,,,,,,,,,,,,,,,,,,,,
USA,Seed Treatment,EMESTO SILVER FUNGICIDE,Bayer Crop Science LP,264-1123,Seed Treatment - Liquid,0.31,0.31,,fl oz/cwt,2,Penflufen,,,,,Prothioconazole,,,,,,,,,,,,,,,,,,
CA,Seed Treatment,EMESTO SILVER,Bayer CropScience Inc.,30361,Seed Treatment - Liquid,20,20,,ml / 100 kg,2,Penflufen,,,,,Prothioconazole,,,,,,,,,,,,,,,,,,
CA,Field Fungicide,PENRED 240FS,Bayer CropScience Inc.,30360,Furrow,8.5,8.5,666,ml / 100 kg,1,Penflufen,,,,,,,,,,,,,,,,,,,,,,,
CA,Seed Treatment,PENRED 240FS,Bayer CropScience Inc.,30360,Seed Treatment - Liquid,8.5,8.5,666,ml / 100 kg,1,Penflufen,,,,,,,,,,,,,,,,,,,,,,,
USA,Field Fungicide,BLOCKER 10G,Amvac Chemical Corporation,5481-8988,Furrow,25.37,25.37,,lb / ac,1,Pentachloronitrobenzene,,,,,,,,,,,,,,,,,,,,,,,
CA,Field Fungicide,VERTISAN,Belchim Crop Protection Canada Inc.,30332,Foliar,1,1.75,5,l / ha,1,Penthiopyrad,,,,,,,,,,,,,,,,,,,,,7,,
USA,Field Fungicide,FONTELIS,"CORTEVA AGRISCIENCE, LLC",352-834,Foliar,30,30,61,fl oz/acre,1,Penthiopyrad,,,,,,,,,,,,,,,,,,,,,,,
USA,Field Fungicide,FONTELIS,"CORTEVA AGRISCIENCE, LLC",352-834,Furrow,30,30,61,fl oz/acre,1,Penthiopyrad,,,,,,,,,,,,,,,,,,,,,,,
USA,Field Fungicide,VERTISAN,"CORTEVA AGRISCIENCE, LLC",352-836,Foliar,10.2,24,72,fl oz/acre,1,Penthiopyrad,,,,,,,,,,,,,,,,,,,,,,,
USA,Field Fungicide,VERTISAN,"CORTEVA AGRISCIENCE, LLC",352-836,Furrow,10.2,24,72,fl oz/acre,1,Penthiopyrad,,,,,,,,,,,,,,,,,,,,,,,
CA,Field Insecticide,AMBUSH 500 EC,Amvac Chemical Corp,14882,Foliar,140,300,1200,ml / ha,1,Permethrin,,,,,,,,,,,,,,,,,,,,,7,,
USA,Field Insecticide,AMBUSH 25WSP INSECTICIDE,Amvac Chemical Corporation,5481-503,Foliar,3.2,12.8,51.2,oz / ac,1,Permethrin,,,,,,,,,,,,,,,,,,,,,,,
USA,Field Insecticide,AMBUSH INSECTICIDE,Amvac Chemical Corporation,5481-549,Foliar,3.2,12.8,51.2,fl oz/acre,1,Permethrin,,,,,,,,,,,,,,,,,,,,,,,
USA,Field Insecticide,POUNCE 25WP,FMC Corporation,279-3051,Foliar,6.4,12.8,,oz / ac,1,Permethrin,,,,,,,,,,,,,,,,,,,,,,,
USA,Field Insecticide,POUNCE 3.2 EC,FMC Corporation,279-3014,Foliar,4,8,,fl oz/acre,1,Permethrin,,,,,,,,,,,,,,,,,,,,,,,
CA,Field Insecticide,POUNCE 384 EC,FMC Corporation,16688,Foliar,180,390,1560,ml / ha,1,Permethrin,,,,,,,,,,,,,,,,,,,,,,,
USA,Field Insecticide,PERMETHRIN 3.2 EC (Tenkoz),"TENKOZ, Inc.",70506-9-55467,Foliar,4,8,32,fl oz/acre,1,Permethrin,,,,,,,,,,,,,,,,,,,,,,,
USA,Field Insecticide,PERM-UP 25DF,"United Phosphorus, Inc.",70506-66,Foliar,6.4,12.8,51.2,oz / ac,1,Permethrin,,,,,,,,,,,,,,,,,,,,,,,
USA,Field Insecticide,PERM-UP 3.2EC,"United Phosphorus, Inc.",70506-9,Foliar,4,8,32,fl oz/acre,1,Permethrin,,,,,,,,,,,,,,,,,,,,,,,
CA,Field Insecticide,PERM-UP,"UPL NA, Inc.",28877,Foliar,180,390,,ml / ha,1,Permethrin,,,,,,,,,,,,,,,,,,,,,,,
USA,Field Insecticide,ARCTIC 3.2 EC,"Winfield Solutions, LLC",1381-187,Foliar,4,8,32,fl oz/acre,1,Permethrin,,,,,,,,,,,,,,,,,,,,,,,
CA,Nematicide,THIMET 20-G,Amvac Chemical Corp,29000,Furrow,12.9,19.8,,kg / ha,1,Phorate,,,,,,,,,,,,,,,,,,,,,,,
USA,Field Insecticide,THIMET 20-G,Amvac Chemical Corporation,5481-530,Foliar,8.68,17.7,,lb / ac,1,Phorate,,,,,,,,,,,,,,,,,,,,,,,
USA,Field Insecticide,THIMET 20-G,Amvac Chemical Corporation,5481-530,Furrow,8.68,17.7,,lb / ac,1,Phorate,,,,,,,,,,,,,,,,,,,,,,,
USA,Field Insecticide,PHORATE 20 G,Loveland Products Inc.,34704-259,Furrow,11.25,17.25,,lb / ac,1,Phorate,,,,,,,,,,,,,,,,,,,,,,,
USA,Field Insecticide,IMIDAN 70-W,Gowan Company,10163-169,Foliar,1.33,1.33,6.66,lb / ac,1,Phosmet,,,,,,,,,,,,,,,,,,,,,,,
CA,Field Insecticide,IMIDAN 50-WP INSTAPAK,Gowan Company L.L.C.,23006,Foliar,2.25,2.25,,kg / ha,1,Phosmet,,,,,,,,,,,,,,,,,,,,,,,
CA,Field Insecticide,IMIDAN 70-WP INSTAPAK,Gowan Company L.L.C.,29064,Foliar,1.6,1.6,,kg / ha,1,Phosmet,,,,,,,,,,,,,,,,,,,,,,,
USA,Field Fungicide,RESIST 57,Actagro LLC,82940-1,Foliar,3,5,,qt / ac,1,Phosphorous acid,,,,,,,,,,,,,,,,,,,,,,,
USA,Storage Fungicide,RESIST 57,Actagro LLC,82940-1,Storage Treatment - Piler,3,5,,qt / ac,1,Phosphorous acid,,,,,,,,,,,,,,,,,,,,,,,
USA,Field Fungicide,VALLEY-PHITE,Actagro LLC,82940-1,Foliar,3,5,,qt / ac,1,Phosphorous acid,,,,,,,,,,,,,,,,,,,,,,,
USA,Storage Fungicide,VALLEY-PHITE,Actagro LLC,82940-1,Storage Treatment - Piler,3,5,,qt / ac,1,Phosphorous acid,,,,,,,,,,,,,,,,,,,,,,,
USA,Field Fungicide,SYSSTEM-K BLUE,Agro-K Corporation,48222-10,Foliar,2,5,,qt / ac,1,Phosphorous acid,,,,,,,,,,,,,,,,,,,,,3,,
USA,Field Fungicide,SYSSTEM-K BLUE,Agro-K Corporation,48222-10,Furrow,2,5,,qt / ac,1,Phosphorous acid,,,,,,,,,,,,,,,,,,,,,3,,
USA,Storage Fungicide,SYSSTEM-K BLUE,Agro-K Corporation,48222-10,Storage Treatment - Ventilation,2,5,,qt / ac,1,Phosphorous acid,,,,,,,,,,,,,,,,,,,,,3,,
CA,Field Fungicide,PHOSTROL,Belchim Crop Protection Canada Inc.,30449,Foliar,2.9,11.6,,l / ha,1,Phosphorous acid,,,,,,,,,,,,,,,,,,,,,7,,
CA,Field Fungicide,PHOSTROL,Belchim Crop Protection Canada Inc.,30449,Furrow,2.9,11.6,,l / ha,1,Phosphorous acid,,,,,,,,,,,,,,,,,,,,,7,,
CA,Storage Fungicide,PHOSTROL,Belchim Crop Protection Canada Inc.,30449,Storage Treatment - Piler,2.9,11.6,,l / ha,1,Phosphorous acid,,,,,,,,,,,,,,,,,,,,,7,,
USA,Field Fungicide,RELOAD FUNGICIDE,BELCHIM CROP PROTECTION US CORPORATION,87865-1,Foliar,3.75,10,,pt / ac,1,Phosphorous acid,,,,,,,,,,,,,,,,,,,,,,,
USA,Field Fungicide,RELOAD FUNGICIDE,BELCHIM CROP PROTECTION US CORPORATION,87865-1,Furrow,3.75,10,,pt / ac,1,Phosphorous acid,,,,,,,,,,,,,,,,,,,,,,,
USA,Storage Fungicide,RELOAD FUNGICIDE,BELCHIM CROP PROTECTION US CORPORATION,87865-1,Storage Treatment - Piler,3.75,10,,pt / ac,1,Phosphorous acid,,,,,,,,,,,,,,,,,,,,,,,
USA,Field Fungicide,OXIPHOS FUNGICIDE,"BioSafe Systems, LLC",70299-22,Foliar,2.5,10,,qt / ac,1,Phosphorous acid,,,,,,,,,,,,,,,,,,,,,7,,
USA,Storage Fungicide,OXIPHOS FUNGICIDE,"BioSafe Systems, LLC",70299-22,Storage Treatment - Ventilation,2.5,10,,qt / ac,1,Phosphorous acid,,,,,,,,,,,,,,,,,,,,,7,,
USA,Field Fungicide,PHITICIDE,Drexel Chemical Company,19713-625,Foliar,3.75,10,,pt / ac,1,Phosphorous acid,,,,,,,,,,,,,,,,,,,,,,,
USA,Field Fungicide,PHITICIDE,Drexel Chemical Company,19713-625,Furrow,3.75,10,,pt / ac,1,Phosphorous acid,,,,,,,,,,,,,,,,,,,,,,,
USA,Storage Fungicide,PHITICIDE,Drexel Chemical Company,19713-625,Storage Treatment - Piler,3.75,10,,pt / ac,1,Phosphorous acid,,,,,,,,,,,,,,,,,,,,,,,
USA,Field Fungicide,PROPHYT,Helena Chemical Company,42519-22-5905,Foliar,4,8,,pt / ac,1,Phosphorous acid,,,,,,,,,,,,,,,,,,,,,5,,
USA,Storage Fungicide,PROPHYT,Helena Chemical Company,42519-22-5905,Storage Treatment - Piler,4,8,,pt / ac,1,Phosphorous acid,,,,,,,,,,,,,,,,,,,,,5,,
USA,Field Fungicide,FOSPHITE,JH Biotech Inc.,68573-2,Foliar,3,5,,qt / ac,1,Phosphorous acid,,,,,,,,,,,,,,,,,,,,,3,,
USA,Storage Fungicide,FOSPHITE,JH Biotech Inc.,68573-2,Storage Treatment - Ventilation,3,5,,qt / ac,1,Phosphorous acid,,,,,,,,,,,,,,,,,,,,,3,,
CA,Field Fungicide,RAMPART FUNGICIDE,Loveland Products Canada Inc.,30654,Foliar,3,8,,l / ha,1,Phosphorous acid,,,,,,,,,,,,,,,,,,,,,3,,
CA,Storage Fungicide,RAMPART FUNGICIDE,Loveland Products Canada Inc.,30654,Storage Treatment - Piler,3,8,,l / ha,1,Phosphorous acid,,,,,,,,,,,,,,,,,,,,,3,,
USA,Field Fungicide,RAMPART,Loveland Products Inc.,34704-924,Foliar,1,5,,qt / ac,1,Phosphorous acid,,,,,,,,,,,,,,,,,,,,,3,,
USA,Storage Fungicide,RAMPART,Loveland Products Inc.,34704-924,Storage Treatment - Ventilation,1,5,,qt / ac,1,Phosphorous acid,,,,,,,,,,,,,,,,,,,,,3,,
USA,Field Fungicide,PHOSTROL,Nufarm Americas Inc.,55146-83,Foliar,3.75,10,,pt / ac,1,Phosphorous acid,,,,,,,,,,,,,,,,,,,,,,,
USA,Field Fungicide,PHOSTROL,Nufarm Americas Inc.,55146-83,Furrow,3.75,10,,pt / ac,1,Phosphorous acid,,,,,,,,,,,,,,,,,,,,,,,
USA,Storage Fungicide,PHOSTROL,Nufarm Americas Inc.,55146-83,Storage Treatment - Piler,3.75,10,,pt / ac,1,Phosphorous acid,,,,,,,,,,,,,,,,,,,,,,,
USA,Fumigant,K-PHITE 7LP,"Plant Food Systems, Inc.",73806-1,Fumigation,1,5,,qt / ac,1,Phosphorous acid,,,,,,,,,,,,,,,,,,,,,,,
USA,Field Fungicide,FUNGI-PHITE,"VERDESIAN LIFE SCIENCES U.S., LLC",73771-5,Foliar,1,3,,qt / ac,1,Phosphorous Acid,,,,,,,,,,,,,,,,,,,,,7,,
CA,Field Fungicide,CONFINE,Winfield Solutions LLC,29100,Foliar,3,7,,l / ha,1,Phosphorous acid,,,,,,,,,,,,,,,,,,,,,,,
CA,Storage Fungicide,CONFINE,Winfield Solutions LLC,29100,Storage Treatment - Piler,3,7,,l / ha,1,Phosphorous acid,,,,,,,,,,,,,,,,,,,,,,,
CA,Field Fungicide,CONFINE EXTRA,Winfield Solutions LLC,30648,Foliar,5,10,,l / ha,1,Phosphorous acid,,,,,,,,,,,,,,,,,,,,,7,,
